weight,height ,class,class name
59.157,147.46,1,small
58.826,151.44,1,small
60.089,149.97,1,small
60.199,152.04,1,small
63.199,152.48,1,small
65.914,151.83,1,small
61.808,148.17,1,small
59.188,149.72,1,small
62.421,150.59,1,small
60.71,157.06,1,small
56.012,152.74,1,small
63.676,155.19,1,small
61.189,150.93,1,small
60.524,150.47,1,small
61.996,151.37,1,small
61.012,148.82,1,small
56.354,152.78,1,small
59.371,149.65,1,small
59.434,146.93,1,small
57.94,151.95,1,small
66.515,146.49,1,small
56.608,145.88,1,small
58.126,150.64,1,small
57.242,147.87,1,small
55.452,147.96,1,small
59.255,149.64,1,small
58.939,148.91,1,small
65.926,149.5,1,small
59.036,150.61,1,small
55.878,147.39,1,small
66.21,147.26,1,small
64.782,145.31,1,small
59.111,149.13,1,small
54.167,151.49,1,small
58.278,148.43,1,small
59.396,151.12,1,small
61.069,151.21,1,small
58.989,152.22,1,small
61.717,152.21,1,small
61.518,148.46,1,small
55.156,148.08,1,small
56.329,150.11,1,small
57.13,148.51,1,small
58.033,153.25,1,small
58.758,153.09,1,small
60.048,150.21,1,small
48.268,149.04,1,small
58.23,151.14,1,small
64.812,148.53,1,small
55.869,149.72,1,small
63.616,148.81,1,small
61.357,150.24,1,small
59.888,152.52,1,small
60.707,151.66,1,small
53.939,152.56,1,small
59.673,147.95,1,small
66.212,150.4,1,small
60.381,147.8,1,small
60.16,150.86,1,small
57.157,150.73,1,small
59.881,152.9,1,small
60.9,152.46,1,small
61.651,151.46,1,small
58.556,148.87,1,small
59.084,148.94,1,small
67.838,145.41,1,small
51.253,149,1,small
68.635,146.53,1,small
61.307,152.08,1,small
63.873,152.02,1,small
53.555,150.31,1,small
57.715,149.15,1,small
58.923,150.32,1,small
61.637,153.59,1,small
53.531,153.02,1,small
61.827,149,1,small
55.303,150.38,1,small
60.256,147.49,1,small
62.527,150.9,1,small
61.267,151.65,1,small
64.193,152.01,1,small
63.897,146.58,1,small
57.479,151.13,1,small
60.996,148.07,1,small
56.342,149.16,1,small
54.881,151.76,1,small
63.582,150.67,1,small
60,149.63,1,small
59.787,151.36,1,small
63.529,153.65,1,small
62.303,148.61,1,small
61.356,146.98,1,small
64.842,147.4,1,small
63.601,147.89,1,small
60.929,148.5,1,small
57.326,151.29,1,small
57.477,145.34,1,small
64.617,150.53,1,small
53.757,148.26,1,small
59.905,152.46,1,small
52.452,148.09,1,small
63.952,150.02,1,small
63.337,147.9,1,small
60.005,148.48,1,small
59.726,149.42,1,small
50.371,149.49,1,small
62.251,148.83,1,small
51.509,152.52,1,small
51.017,151.23,1,small
60.31,154.15,1,small
56.327,149.38,1,small
61.594,152.39,1,small
62.622,145.31,1,small
63.322,151.43,1,small
57.323,150.83,1,small
61.74,149.16,1,small
60.39,151.55,1,small
63.199,151.96,1,small
62.077,152.31,1,small
63.478,150.94,1,small
59.489,151.34,1,small
59.43,148.49,1,small
63.903,147.55,1,small
51.775,149.4,1,small
58.046,150.42,1,small
55.079,152.13,1,small
58.518,148.23,1,small
62.512,148.91,1,small
63.198,156.65,1,small
56.069,148.61,1,small
58.176,154.29,1,small
60.531,152.15,1,small
58.87,148.75,1,small
61.169,149.76,1,small
61.549,149.52,1,small
56.398,151.06,1,small
59.315,153.05,1,small
51.742,146.34,1,small
64.436,154.53,1,small
57.564,151.74,1,small
55.338,148.77,1,small
59.016,149.72,1,small
54.467,150.67,1,small
59.919,150.66,1,small
57.829,152.69,1,small
68.435,152.44,1,small
64.409,149.2,1,small
50.33,149.71,1,small
61.709,151.64,1,small
54.585,150.27,1,small
59.012,152.54,1,small
60.637,148.46,1,small
62.896,151.05,1,small
58.942,150.64,1,small
66.105,153.11,1,small
58.137,146.99,1,small
61.268,150,1,small
62.575,150.12,1,small
60.33,144.76,1,small
63.412,152.79,1,small
61.252,156.28,1,small
56.963,149.48,1,small
53.008,150.64,1,small
67.198,148.96,1,small
57.659,150.86,1,small
60.4,149.15,1,small
62.181,149.77,1,small
60.44,153.62,1,small
56.496,148.11,1,small
58.189,148.71,1,small
59.516,149.83,1,small
65.728,149.7,1,small
56.666,153.22,1,small
63.039,154.54,1,small
61.195,147.81,1,small
59.094,148.57,1,small
55.906,151.16,1,small
58.9,149.15,1,small
59.664,154.46,1,small
54.309,153.66,1,small
60.744,151.25,1,small
56.815,151.26,1,small
59.635,149.24,1,small
61.302,151.71,1,small
56.496,152.52,1,small
58.884,150.32,1,small
61.356,154.31,1,small
52.89,151.5,1,small
64.012,149.75,1,small
69.39,150.83,1,small
63.716,152.45,1,small
58.777,149.11,1,small
61.66,149.81,1,small
55.988,155.31,1,small
67.273,148.94,1,small
63.643,152.12,1,small
63.049,151.83,1,small
56.608,153.55,1,small
61.239,151.18,1,small
57.838,144.49,1,small
58.794,148.09,1,small
57.792,151.14,1,small
56.027,150.58,1,small
56.48,154.39,1,small
59.187,153.14,1,small
53.42,151.11,1,small
62.353,150.19,1,small
59.544,146.54,1,small
62.708,154.17,1,small
61.044,150.3,1,small
61.914,146.54,1,small
54.256,150.97,1,small
56.049,150.23,1,small
58.269,148.72,1,small
60.425,151.1,1,small
64.372,148.42,1,small
58.877,146.99,1,small
64.886,146.08,1,small
61.841,149.19,1,small
64.547,148.6,1,small
60.492,150.98,1,small
57.456,146.64,1,small
54.263,149.53,1,small
60.602,146.63,1,small
63.17,154.05,1,small
58.867,149.74,1,small
57.906,152.74,1,small
58.805,151.11,1,small
55.753,152.03,1,small
58.091,147.42,1,small
59.3,152.81,1,small
60.178,153.25,1,small
59.753,145.36,1,small
62.368,149.61,1,small
60.423,148.54,1,small
67.026,150.35,1,small
61.208,148.1,1,small
66.989,150.62,1,small
57.199,151.34,1,small
62.039,150.55,1,small
58.992,149.74,1,small
62.324,147.12,1,small
62.3,150.13,1,small
51.534,148.84,1,small
54.86,147.14,1,small
54.419,149.87,1,small
61.556,149.53,1,small
65.694,150.43,1,small
58.734,152.22,1,small
63.146,151.29,1,small
62.113,152.92,1,small
55.927,148.37,1,small
61.539,148.07,1,small
57.088,149.79,1,small
65.872,153.09,1,small
59.874,152.92,1,small
66.336,149.72,1,small
58.354,148.67,1,small
62.283,146.6,1,small
59.757,151.5,1,small
52.169,150.05,1,small
56.196,147.37,1,small
62.372,149.25,1,small
59.787,145.91,1,small
55.667,150.96,1,small
57.574,149.61,1,small
60.966,153.65,1,small
56.154,146.96,1,small
63.776,152.17,1,small
57.519,150.32,1,small
67.006,150.18,1,small
55.818,151.6,1,small
60.771,152.67,1,small
54.109,147.61,1,small
57.197,152.95,1,small
57.702,147.29,1,small
61.554,147.6,1,small
63.649,148.5,1,small
61.164,151.65,1,small
58.555,147.61,1,small
63.158,150.75,1,small
63.094,150.92,1,small
60.466,150.34,1,small
62.212,151.24,1,small
61.599,147.38,1,small
56.178,152.25,1,small
62.942,150.25,1,small
57.455,151.63,1,small
57.661,147.8,1,small
60.685,150.12,1,small
58.809,151.96,1,small
59.489,152.27,1,small
62.306,149.81,1,small
64.054,145.86,1,small
59.233,147.55,1,small
61.269,150.49,1,small
59.077,151.78,1,small
60.889,151.04,1,small
61.704,148.63,1,small
57.611,155.02,1,small
61.064,150.16,1,small
62.328,151.94,1,small
60.358,149.07,1,small
66.7,147.51,1,small
57.643,151.53,1,small
57.145,152.32,1,small
53.223,154.07,1,small
63.526,148.82,1,small
63.358,146.36,1,small
59.691,153.62,1,small
63.48,150.59,1,small
60.711,147.48,1,small
61.126,148.75,1,small
60.437,148.19,1,small
61.704,152.6,1,small
60.394,151.32,1,small
70.795,150.54,1,small
55.482,150.54,1,small
52.818,148.16,1,small
55.582,152.22,1,small
55.765,150.77,1,small
58.321,149.42,1,small
59.348,149.59,1,small
59.154,149.77,1,small
62.097,148.02,1,small
61.508,151.66,1,small
62.909,153.11,1,small
66.887,155.53,1,small
64.737,151.13,1,small
55.03,148.16,1,small
50.98,150.45,1,small
63.493,147.75,1,small
52.891,148.63,1,small
60.259,148.53,1,small
60.137,148.14,1,small
68.626,150.85,1,small
59.732,147.51,1,small
58.035,151.49,1,small
60.913,151.78,1,small
60.952,152.32,1,small
60.271,149.95,1,small
57.643,151.38,1,small
55.265,154.03,1,small
61.226,150.12,1,small
54.799,149.6,1,small
56.002,153.96,1,small
65.156,144.39,1,small
58.378,148.98,1,small
59.457,155.43,1,small
63.485,148.95,1,small
58.838,148.75,1,small
63.987,147.26,1,small
58.664,151.77,1,small
63.923,145.28,1,small
62.437,148.21,1,small
59.175,151.27,1,small
56.647,150,1,small
55.96,151.4,1,small
58.954,150.28,1,small
58.303,151.52,1,small
58.417,147.12,1,small
63.809,150.49,1,small
58.847,146.5,1,small
64.429,151.75,1,small
57.941,149.31,1,small
63.767,151.47,1,small
57.977,148.8,1,small
60.684,150.73,1,small
63.76,152.36,1,small
58.397,145.57,1,small
58.303,145.82,1,small
67.759,145.9,1,small
63.683,151.9,1,small
58.327,150.91,1,small
62.513,148.43,1,small
58.605,153.35,1,small
62.734,150.31,1,small
65.484,146.45,1,small
53.786,147.72,1,small
63.985,146.9,1,small
65.647,152.14,1,small
60.184,148.66,1,small
66.763,147.38,1,small
60.602,148.71,1,small
55.209,148.13,1,small
51.505,151.91,1,small
58.709,151.07,1,small
62.764,150.68,1,small
61.229,150.93,1,small
61.602,150.1,1,small
57.765,147.88,1,small
60.558,151.21,1,small
53.653,148.16,1,small
57.056,147.6,1,small
56.829,147.6,1,small
62.013,151.94,1,small
59.945,152.19,1,small
55.525,146.07,1,small
59.963,149.67,1,small
57.328,150.56,1,small
57.418,148.64,1,small
63.347,151.7,1,small
60.439,150.57,1,small
61.543,149.66,1,small
63.424,148.75,1,small
60.698,151.51,1,small
62.133,151.9,1,small
62.645,151.05,1,small
64.534,149.46,1,small
61.843,152.06,1,small
65.47,147.97,1,small
60.088,150.32,1,small
59.815,153.12,1,small
66.589,149.58,1,small
58.026,148.11,1,small
59.989,154.35,1,small
63.563,149.45,1,small
60.58,150.99,1,small
65.441,148.2,1,small
64.005,150.64,1,small
61.129,151.04,1,small
56.988,150.01,1,small
62.195,150.73,1,small
54.645,152.69,1,small
60.947,146.86,1,small
63.131,150.46,1,small
60.825,145.55,1,small
63.407,150.06,1,small
67.897,154.32,1,small
63.578,152.1,1,small
61.034,149.98,1,small
62.485,149.24,1,small
61.648,151.18,1,small
54.908,152.36,1,small
58.387,150.03,1,small
64.743,153.61,1,small
59.831,148.18,1,small
62.256,145.53,1,small
56.102,148.33,1,small
60.25,149.55,1,small
62.325,149.17,1,small
54.727,148.11,1,small
61.346,152.99,1,small
59.296,146.39,1,small
56.361,148.9,1,small
59.855,147.83,1,small
52.656,148.94,1,small
51.758,148.51,1,small
55.442,151.07,1,small
56.164,147.67,1,small
55.457,148.16,1,small
53.317,150.23,1,small
61.116,152.42,1,small
53.826,145.85,1,small
60.427,154.02,1,small
63.048,148.04,1,small
59.991,151.45,1,small
60.361,152.35,1,small
58.535,152.96,1,small
54.258,148.84,1,small
59.83,150.05,1,small
63.721,149.64,1,small
66.732,148.65,1,small
58.334,150.61,1,small
53.697,150.8,1,small
60.644,149.21,1,small
61.457,150.3,1,small
59.121,155.98,1,small
55.55,149.98,1,small
67.84,151.59,1,small
50.862,148.97,1,small
58.025,148.82,1,small
54.881,149.23,1,small
57.536,151.26,1,small
61.231,148.21,1,small
60.535,145.86,1,small
57.247,150.12,1,small
63.009,149.02,1,small
62.411,150.63,1,small
62.507,150.19,1,small
58.352,151.63,1,small
64.061,152.01,1,small
62.559,147.04,1,small
69.716,146.59,1,small
64.119,151.12,1,small
64.481,150.69,1,small
60.205,147.9,1,small
55.01,152.77,1,small
58.562,150.07,1,small
57.065,150.28,1,small
57.816,150.61,1,small
62.15,151.69,1,small
57.844,153.41,1,small
56.533,149.41,1,small
58.415,146.13,1,small
59.377,152.27,1,small
61.585,147.93,1,small
56.31,152.78,1,small
61.229,148.68,1,small
60.302,153.34,1,small
65.129,148.2,1,small
59.174,147.51,1,small
59.479,152.14,1,small
55.463,146.95,1,small
54.635,151.52,1,small
61.203,150.98,1,small
59.034,149.68,1,small
61.951,149.24,1,small
56.543,154.6,1,small
67.392,149.16,1,small
60.473,149.57,1,small
64.055,147.9,1,small
59.121,148.18,1,small
59.371,148.69,1,small
62.673,153.82,1,small
62.152,149.13,1,small
55.661,148.46,1,small
54.064,149,1,small
55.748,151.6,1,small
54.517,147.06,1,small
60.231,151.4,1,small
58.407,147.02,1,small
58.575,149.71,1,small
54.729,145.91,1,small
63.019,151.2,1,small
61.702,151.55,1,small
59.653,148.46,1,small
63.955,150.71,1,small
56.615,150.36,1,small
61.606,152.59,1,small
61.35,150.29,1,small
61.353,152.32,1,small
57.176,149.74,1,small
61.266,148.55,1,small
58.006,149.92,1,small
56.528,149.55,1,small
55.34,151.97,1,small
64.019,149.87,1,small
56.724,148.12,1,small
59.33,149.65,1,small
55.319,152.66,1,small
58.849,149.07,1,small
47.482,148.53,1,small
55.79,152.2,1,small
54.475,150.23,1,small
56.071,149.19,1,small
59.174,148.35,1,small
58.74,146.69,1,small
67.531,150.34,1,small
57.786,149.29,1,small
59.032,150.71,1,small
53.922,146.74,1,small
58.151,152.96,1,small
54.818,151.09,1,small
60.117,146.5,1,small
63.304,152.36,1,small
61.566,148.69,1,small
57.287,150.68,1,small
53.685,150.49,1,small
65.655,148.04,1,small
67.94,143.6,1,small
60.467,151.2,1,small
56.166,149.24,1,small
64.639,148.66,1,small
57.705,150.94,1,small
58.18,148.46,1,small
63.433,151.5,1,small
54.635,150.34,1,small
52.422,147.78,1,small
61.629,151.87,1,small
61.552,151.06,1,small
60.368,152.8,1,small
61.924,148,1,small
64.191,148,1,small
63.759,150.7,1,small
57.798,151.49,1,small
63.137,151.85,1,small
60.671,150.01,1,small
58.042,149.47,1,small
55.378,151.46,1,small
62.506,154.39,1,small
58.63,151.98,1,small
60.18,150.19,1,small
56.929,148.72,1,small
53.995,151.12,1,small
60.665,148.92,1,small
59.759,150.53,1,small
64.644,151.74,1,small
63.105,152.07,1,small
64.079,151.32,1,small
57.1,153.08,1,small
56.374,154.14,1,small
55.085,145.76,1,small
61.929,146.02,1,small
70.802,147.94,1,small
62.818,145.53,1,small
57.006,149.2,1,small
63.24,149.25,1,small
55.63,150.56,1,small
54.483,150.64,1,small
62.779,148.47,1,small
56.987,148.18,1,small
61.224,151.77,1,small
65.447,149.15,1,small
61.554,146.93,1,small
63.601,150.02,1,small
53.781,150.46,1,small
62.562,149.08,1,small
68.282,151.48,1,small
62.096,150.5,1,small
54.032,149.52,1,small
59.213,149.9,1,small
58.064,151.02,1,small
61.483,149.01,1,small
61.596,147.64,1,small
61.57,149.65,1,small
58.591,150.29,1,small
57.679,151.14,1,small
57.717,149.93,1,small
63.306,148.98,1,small
52.823,151.33,1,small
59.197,149.75,1,small
61.047,151.8,1,small
57.472,149.8,1,small
61.848,149.99,1,small
59.724,149.79,1,small
56.366,147.94,1,small
60.625,147.93,1,small
58.961,147.85,1,small
58.413,153.99,1,small
57.245,149.55,1,small
60.238,152.1,1,small
52.85,150.78,1,small
58.457,154.16,1,small
57.895,152.07,1,small
56.468,147.26,1,small
62.528,149.27,1,small
57.156,151.99,1,small
62.094,150.64,1,small
63.779,155.07,1,small
59.392,149.89,1,small
61.076,146.53,1,small
62.477,150.99,1,small
59.686,147.96,1,small
62.095,150.11,1,small
55.11,152.41,1,small
64.301,150.69,1,small
56.167,150.67,1,small
52.917,149.56,1,small
65.362,149.67,1,small
59.757,149.77,1,small
61.739,143.74,1,small
58.593,150.88,1,small
56.047,152.21,1,small
48.098,147.1,1,small
62.426,146.6,1,small
58.89,151.39,1,small
59.236,146.63,1,small
61.571,146.24,1,small
54.503,151.76,1,small
57.175,148.54,1,small
64.444,152.78,1,small
62.316,147.11,1,small
55.038,148.63,1,small
51.467,150.54,1,small
57.788,151.23,1,small
60.829,151.05,1,small
63.65,150.43,1,small
60.363,149.49,1,small
55.653,148.7,1,small
61.186,151.07,1,small
55.46,149.14,1,small
56.278,150.94,1,small
57.468,152.43,1,small
55.239,144.97,1,small
58.951,154.03,1,small
56.515,148.59,1,small
58.894,152.94,1,small
58.209,153.47,1,small
58.413,146.72,1,small
58.05,150.4,1,small
64.777,157.75,1,small
62.364,149.52,1,small
60.229,151.09,1,small
54.319,150.74,1,small
53.703,152.84,1,small
52.391,152.44,1,small
70.09,147.88,1,small
63.766,149.02,1,small
60.995,150.77,1,small
56.227,149.87,1,small
55.56,155.67,1,small
62.121,150.98,1,small
66.062,150.98,1,small
53.442,148.13,1,small
58.259,147.08,1,small
59.674,151.78,1,small
52.285,149.56,1,small
63.258,151.45,1,small
58.394,148.14,1,small
67.406,152,1,small
58.486,145.94,1,small
61.585,153.5,1,small
55.575,151.89,1,small
57.58,150.25,1,small
55.474,147.4,1,small
61.52,149.11,1,small
65.042,150.57,1,small
57.701,152.7,1,small
61.69,147.69,1,small
58.047,152.9,1,small
60.395,156.19,1,small
64.633,148.89,1,small
60.466,151.05,1,small
55.984,148.53,1,small
56.68,146.16,1,small
59.342,153.29,1,small
59.258,151.55,1,small
56.647,148.86,1,small
60.7,150.25,1,small
64.905,149.49,1,small
59.027,146.73,1,small
59.208,143.55,1,small
51.474,149.89,1,small
57,148.97,1,small
54.604,148.71,1,small
58.504,148.11,1,small
62.036,145.94,1,small
65.9,148.83,1,small
66.966,150.36,1,small
59.547,147.63,1,small
58.76,151.01,1,small
63.166,149.39,1,small
61.898,149.77,1,small
62.964,146.8,1,small
63.014,148.29,1,small
54.267,150.92,1,small
62.093,148.23,1,small
59.645,150.36,1,small
57.056,154.42,1,small
57.314,151.78,1,small
64.963,152.32,1,small
56.864,155.28,1,small
55.21,152.63,1,small
60.831,150.89,1,small
67.788,154.36,1,small
60.099,147.98,1,small
61.194,148.47,1,small
56.366,154.51,1,small
66.484,151.02,1,small
60.484,149.91,1,small
62.053,151.02,1,small
56.313,149.41,1,small
63.308,149.35,1,small
61.507,149.14,1,small
55.523,148.76,1,small
60.154,147.89,1,small
58.255,149.87,1,small
60.423,148.71,1,small
59.03,153.22,1,small
59.265,150.53,1,small
56,152.28,1,small
58.748,149.69,1,small
62.969,149.82,1,small
66.757,152.81,1,small
55.505,153.28,1,small
69.208,150.07,1,small
65.91,153.78,1,small
60.653,151.06,1,small
58.833,150.82,1,small
57.294,154.9,1,small
63.225,153.43,1,small
57.31,152.03,1,small
58.211,150.9,1,small
63.422,148.8,1,small
61.688,149.74,1,small
63.473,154.07,1,small
61.955,145.48,1,small
58.447,148.58,1,small
58.01,149.58,1,small
63.084,150.33,1,small
57.4,146.01,1,small
64.596,151.18,1,small
63.062,151.63,1,small
61.114,147.9,1,small
60.012,149.42,1,small
61.416,147.29,1,small
73.659,153.63,1,small
59.565,150.84,1,small
53.971,149.44,1,small
67.417,147.93,1,small
62.362,150.22,1,small
57.491,153.77,1,small
70.137,150.62,1,small
62.134,150.79,1,small
61.139,147.32,1,small
56.987,150.37,1,small
55.876,151.74,1,small
53.151,146.91,1,small
58.362,152.52,1,small
55.921,155.51,1,small
62.509,146.52,1,small
58.77,145.38,1,small
66.851,149.84,1,small
65.85,151.7,1,small
60.635,149.82,1,small
58.905,149.65,1,small
64.462,150.01,1,small
55.56,147.62,1,small
62.609,146.32,1,small
57.409,153.54,1,small
58.45,150.65,1,small
57.398,147.34,1,small
62.229,152.41,1,small
56.986,147.1,1,small
55.881,149.73,1,small
62.142,151.66,1,small
58.36,148.12,1,small
61.4,149.22,1,small
58.637,150.07,1,small
61.044,154.37,1,small
50.068,151.03,1,small
61.804,149.11,1,small
67.179,149.5,1,small
64.025,149.37,1,small
63.528,152.92,1,small
59.072,149.36,1,small
60.701,148.23,1,small
60.946,150.54,1,small
60.373,149.79,1,small
56.784,151.77,1,small
58.636,152.15,1,small
59.323,152.43,1,small
58.138,151.45,1,small
63.241,151.41,1,small
69.831,154.26,1,small
54.875,147.41,1,small
60.497,149.22,1,small
54.414,146.21,1,small
65.045,152.06,1,small
65.461,150.05,1,small
53.561,149.33,1,small
67.528,146.15,1,small
55.799,150.41,1,small
60.878,149.42,1,small
64.256,146.97,1,small
60.57,147.41,1,small
68.891,148.3,1,small
70.661,149.44,1,small
60.536,146.31,1,small
52.614,149.59,1,small
58.586,151.38,1,small
56.715,149.16,1,small
57.038,148.44,1,small
55.632,150.68,1,small
60.303,152.46,1,small
68.159,149,1,small
57.228,148.96,1,small
58.914,146.79,1,small
64.518,147.81,1,small
64.697,151.35,1,small
61.88,149.75,1,small
63.974,151.71,1,small
63.372,151.5,1,small
58.521,150.84,1,small
61.661,151.71,1,small
58.841,153.41,1,small
56.515,151.29,1,small
62.458,150.95,1,small
60.261,149.9,1,small
59.275,147.22,1,small
61.13,148.87,1,small
63.825,150.73,1,small
61.522,147.51,1,small
60.753,151.05,1,small
61.084,150.72,1,small
60.198,150.22,1,small
57.001,150.67,1,small
63.047,150.05,1,small
65.457,149.95,1,small
57.931,149.98,1,small
67.466,152.08,1,small
59.317,149.8,1,small
59.056,144.09,1,small
56.524,148.91,1,small
56.931,150.44,1,small
56.309,152.15,1,small
61.371,153.09,1,small
66.185,147.89,1,small
62.043,151.7,1,small
63.308,150.53,1,small
65.197,149.53,1,small
50.319,150.06,1,small
59.351,149.94,1,small
61.367,150.31,1,small
62.778,150.53,1,small
54.946,148.5,1,small
56.104,147.66,1,small
63.062,152.16,1,small
59.549,149.51,1,small
62.142,153.16,1,small
56.279,147.93,1,small
53.672,148.67,1,small
62.948,153.18,1,small
64.622,153.15,1,small
66.321,147.7,1,small
54.066,150.46,1,small
54.822,153,1,small
54.292,152.98,1,small
59.839,147.13,1,small
57.616,153.62,1,small
65.09,151.48,1,small
54.365,150.51,1,small
53.252,149.5,1,small
60.795,147.84,1,small
64.62,150.21,1,small
56.891,149.43,1,small
55.098,155.17,1,small
59.422,150.42,1,small
53.662,149.61,1,small
60.067,149.97,1,small
63.208,148.63,1,small
60.843,154.63,1,small
52.606,151.42,1,small
57.921,150.17,1,small
58.83,152.51,1,small
67.024,149.93,1,small
63.543,149.78,1,small
59.779,148.76,1,small
65.071,148.62,1,small
55.954,153.59,1,small
58.651,151.72,1,small
65.471,150.19,1,small
65.819,153.81,1,small
62.829,150.05,1,small
61.901,150.65,1,small
57.73,146.83,1,small
62.885,151.06,1,small
56.793,146.76,1,small
62.225,147.79,1,small
61.092,152.12,1,small
64.413,150.79,1,small
58.351,148.05,1,small
62.464,149.11,1,small
63.072,150.57,1,small
56.521,150.49,1,small
60.605,146.17,1,small
66.186,147.3,1,small
60.435,146.04,1,small
58.805,149.84,1,small
61.769,146.15,1,small
58.935,151.57,1,small
61.716,147.75,1,small
59.478,147.53,1,small
59.929,154,1,small
61.785,154.84,1,small
65.276,148.17,1,small
61.75,149.92,1,small
66.384,154.39,1,small
52.144,148.79,1,small
58.26,153.84,1,small
60.914,151.83,1,small
56.765,150.12,1,small
55.058,149.21,1,small
62.39,153.79,1,small
62.373,151.59,1,small
61.121,148.59,1,small
61.531,150.88,1,small
56.628,148.04,1,small
58.072,150.33,1,small
59.587,153.43,1,small
57.336,151.19,1,small
61.285,148.3,1,small
69.16,150.78,1,small
58.132,148.44,1,small
62.508,154.52,1,small
